Class,Count
-5 sentiments  1846,
-4 sentiments  8729,
-3 sentiments  13047,
-2 sentiments  19271,
-1 sentiments  27919,
 0 sentiments  0,
 1 sentiments  18060,
 2 sentiments  32268,
 3 sentiments  19763,
 4 sentiments  4454,
 5 sentiments  54,
